GeoCode,GeoName,Criteria,ID,Total,Male,Female
1001,Division No. 1,Black,1327,1875,980,895
1001,Division No. 1,"Black, n.o.s.",1539,45,25,20
1002,Division No. 2,Black,1327,30,15,20
1002,Division No. 2,"Black, n.o.s.",1539,0,0,0
1003,Division No. 3,Black,1327,25,0,15
1003,Division No. 3,"Black, n.o.s.",1539,0,0,0
1004,Division No. 4,Black,1327,25,15,10
1004,Division No. 4,"Black, n.o.s.",1539,0,0,0
1005,Division No. 5,Black,1327,95,40,55
1005,Division No. 5,"Black, n.o.s.",1539,0,0,0
1006,Division No. 6,Black,1327,80,45,35
1006,Division No. 6,"Black, n.o.s.",1539,0,0,0
1007,Division No. 7,Black,1327,65,25,40
1007,Division No. 7,"Black, n.o.s.",1539,10,0,0
1008,Division No. 8,Black,1327,70,25,45
1008,Division No. 8,"Black, n.o.s.",1539,0,0,0
1009,Division No. 9,Black,1327,35,15,15
1009,Division No. 9,"Black, n.o.s.",1539,10,10,10
1010,Division No. 10,Black,1327,55,35,20
1010,Division No. 10,"Black, n.o.s.",1539,0,0,10
1011,Division No. 11,Black,1327,0,0,0
1011,Division No. 11,"Black, n.o.s.",1539,0,0,0
1101,Kings,Black,1327,40,20,20
1101,Kings,"Black, n.o.s.",1539,10,10,10
1102,Queens,Black,1327,660,340,320
1102,Queens,"Black, n.o.s.",1539,25,10,10
1103,Prince,Black,1327,120,65,60
1103,Prince,"Black, n.o.s.",1539,0,0,0
1201,Shelburne,Black,1327,215,80,140
1201,Shelburne,"Black, n.o.s.",1539,0,0,10
1202,Yarmouth,Black,1327,480,250,235
1202,Yarmouth,"Black, n.o.s.",1539,115,55,55
1203,Digby,Black,1327,385,175,205
1203,Digby,"Black, n.o.s.",1539,65,15,45
1204,Queens,Black,1327,145,70,70
1204,Queens,"Black, n.o.s.",1539,20,10,0
1205,Annapolis,Black,1327,180,75,100
1205,Annapolis,"Black, n.o.s.",1539,20,10,20
1206,Lunenburg,Black,1327,135,75,60
1206,Lunenburg,"Black, n.o.s.",1539,20,10,10
1207,Kings,Black,1327,740,385,350
1207,Kings,"Black, n.o.s.",1539,90,55,35
1208,Hants,Black,1327,675,360,310
1208,Hants,"Black, n.o.s.",1539,55,35,20
1209,Halifax,Black,1327,15090,7305,7785
1209,Halifax,"Black, n.o.s.",1539,1460,670,790
1210,Colchester,Black,1327,865,490,370
1210,Colchester,"Black, n.o.s.",1539,130,50,75
1211,Cumberland,Black,1327,435,185,245
1211,Cumberland,"Black, n.o.s.",1539,35,20,15
1212,Pictou,Black,1327,685,380,300
1212,Pictou,"Black, n.o.s.",1539,40,20,20
1213,Guysborough,Black,1327,235,115,120
1213,Guysborough,"Black, n.o.s.",1539,15,10,10
1214,Antigonish,Black,1327,375,155,215
1214,Antigonish,"Black, n.o.s.",1539,20,10,10
1215,Inverness,Black,1327,100,40,60
1215,Inverness,"Black, n.o.s.",1539,10,10,0
1216,Richmond,Black,1327,35,30,10
1216,Richmond,"Black, n.o.s.",1539,0,10,0
1217,Cape Breton,Black,1327,1105,545,555
1217,Cape Breton,"Black, n.o.s.",1539,150,75,80
1218,Victoria,Black,1327,45,20,30
1218,Victoria,"Black, n.o.s.",1539,10,0,0
1301,Saint John,Black,1327,1435,690,745
1301,Saint John,"Black, n.o.s.",1539,90,35,60
1302,Charlotte,Black,1327,85,55,30
1302,Charlotte,"Black, n.o.s.",1539,10,0,10
1303,Sunbury,Black,1327,295,160,135
1303,Sunbury,"Black, n.o.s.",1539,30,15,15
1304,Queens,Black,1327,105,55,45
1304,Queens,"Black, n.o.s.",1539,0,0,0
1305,Kings,Black,1327,330,195,140
1305,Kings,"Black, n.o.s.",1539,30,15,20
1306,Albert,Black,1327,195,85,115
1306,Albert,"Black, n.o.s.",1539,10,0,0
1307,Westmorland,Black,1327,2340,1220,1120
1307,Westmorland,"Black, n.o.s.",1539,50,20,30
1308,Kent,Black,1327,125,55,75
1308,Kent,"Black, n.o.s.",1539,15,0,15
1309,Northumberland,Black,1327,125,70,55
1309,Northumberland,"Black, n.o.s.",1539,10,10,0
1310,York,Black,1327,1135,535,595
1310,York,"Black, n.o.s.",1539,90,25,60
1311,Carleton,Black,1327,165,90,75
1311,Carleton,"Black, n.o.s.",1539,10,0,10
1312,Victoria,Black,1327,20,20,10
1312,Victoria,"Black, n.o.s.",1539,0,0,0
1313,Madawaska,Black,1327,210,100,105
1313,Madawaska,"Black, n.o.s.",1539,0,10,0
1314,Restigouche,Black,1327,185,85,100
1314,Restigouche,"Black, n.o.s.",1539,20,0,20
1315,Gloucester,Black,1327,240,130,110
1315,Gloucester,"Black, n.o.s.",1539,10,10,0
2401,Les Îles-de-la-Madeleine,Black,1327,20,0,20
2401,Les Îles-de-la-Madeleine,"Black, n.o.s.",1539,0,0,0
2402,Le Rocher-Percé,Black,1327,35,25,10
2402,Le Rocher-Percé,"Black, n.o.s.",1539,0,0,0
2403,La Côte-de-Gaspé,Black,1327,60,25,35
2403,La Côte-de-Gaspé,"Black, n.o.s.",1539,0,0,0
2404,La Haute-Gaspésie,Black,1327,25,10,15
2404,La Haute-Gaspésie,"Black, n.o.s.",1539,0,0,0
2405,Bonaventure,Black,1327,0,0,10
2405,Bonaventure,"Black, n.o.s.",1539,0,0,0
2406,Avignon,Black,1327,40,20,20
2406,Avignon,"Black, n.o.s.",1539,0,0,0
2407,La Matapédia,Black,1327,15,10,0
2407,La Matapédia,"Black, n.o.s.",1539,0,0,0
2408,Matane,Black,1327,150,60,90
2408,Matane,"Black, n.o.s.",1539,10,10,0
2409,La Mitis,Black,1327,40,15,20
2409,La Mitis,"Black, n.o.s.",1539,0,0,0
2410,Rimouski-Neigette,Black,1327,315,215,105
2410,Rimouski-Neigette,"Black, n.o.s.",1539,10,0,0
2411,Les Basques,Black,1327,10,0,10
2411,Les Basques,"Black, n.o.s.",1539,0,0,0
2412,Rivière-du-Loup,Black,1327,105,55,50
2412,Rivière-du-Loup,"Black, n.o.s.",1539,0,0,0
2413,Témiscouata,Black,1327,20,10,15
2413,Témiscouata,"Black, n.o.s.",1539,0,0,0
2414,Kamouraska,Black,1327,50,20,25
2414,Kamouraska,"Black, n.o.s.",1539,0,0,0
2415,Charlevoix-Est,Black,1327,30,15,15
2415,Charlevoix-Est,"Black, n.o.s.",1539,0,0,0
2416,Charlevoix,Black,1327,20,10,0
2416,Charlevoix,"Black, n.o.s.",1539,0,0,0
2417,L'Islet,Black,1327,15,10,10
2417,L'Islet,"Black, n.o.s.",1539,0,0,10
2418,Montmagny,Black,1327,55,20,35
2418,Montmagny,"Black, n.o.s.",1539,0,0,0
2419,Bellechasse,Black,1327,320,160,165
2419,Bellechasse,"Black, n.o.s.",1539,0,0,0
2420,L'Île-d'Orléans,Black,1327,15,10,10
2420,L'Île-d'Orléans,"Black, n.o.s.",1539,0,0,0
2421,La Côte-de-Beaupré,Black,1327,105,45,60
2421,La Côte-de-Beaupré,"Black, n.o.s.",1539,0,0,0
2422,La Jacques-Cartier,Black,1327,150,75,75
2422,La Jacques-Cartier,"Black, n.o.s.",1539,0,0,0
2423,Québec,Black,1327,12730,6670,6055
2423,Québec,"Black, n.o.s.",1539,130,75,55
2425,Lévis,Black,1327,1035,545,490
2425,Lévis,"Black, n.o.s.",1539,20,10,15
2426,La Nouvelle-Beauce,Black,1327,115,65,50
2426,La Nouvelle-Beauce,"Black, n.o.s.",1539,0,10,0
2427,Robert-Cliche,Black,1327,115,85,30
2427,Robert-Cliche,"Black, n.o.s.",1539,0,0,0
2428,Les Etchemins,Black,1327,40,15,20
2428,Les Etchemins,"Black, n.o.s.",1539,0,0,0
2429,Beauce-Sartigan,Black,1327,170,90,75
2429,Beauce-Sartigan,"Black, n.o.s.",1539,0,0,0
2430,Le Granit,Black,1327,40,10,30
2430,Le Granit,"Black, n.o.s.",1539,0,0,0
2431,Les Appalaches,Black,1327,145,80,70
2431,Les Appalaches,"Black, n.o.s.",1539,0,0,0
2432,L'Érable,Black,1327,25,20,10
2432,L'Érable,"Black, n.o.s.",1539,0,0,0
2433,Lotbinière,Black,1327,65,25,40
2433,Lotbinière,"Black, n.o.s.",1539,0,0,0
2434,Portneuf,Black,1327,135,80,50
2434,Portneuf,"Black, n.o.s.",1539,0,0,0
2435,Mékinac,Black,1327,20,0,15
2435,Mékinac,"Black, n.o.s.",1539,0,0,0
2436,Shawinigan,Black,1327,235,130,110
2436,Shawinigan,"Black, n.o.s.",1539,15,10,10
2437,Francheville,Black,1327,1875,990,880
2437,Francheville,"Black, n.o.s.",1539,25,20,10
2438,Bécancour,Black,1327,60,30,30
2438,Bécancour,"Black, n.o.s.",1539,0,0,0
2439,Arthabaska,Black,1327,385,180,205
2439,Arthabaska,"Black, n.o.s.",1539,10,10,0
2440,Les Sources,Black,1327,45,20,25
2440,Les Sources,"Black, n.o.s.",1539,0,0,0
2441,Le Haut-Saint-François,Black,1327,50,35,15
2441,Le Haut-Saint-François,"Black, n.o.s.",1539,0,0,0
2442,Le Val-Saint-François,Black,1327,50,15,35
2442,Le Val-Saint-François,"Black, n.o.s.",1539,0,0,0
2443,Sherbrooke,Black,1327,3520,1745,1770
2443,Sherbrooke,"Black, n.o.s.",1539,40,30,10
2444,Coaticook,Black,1327,45,20,30
2444,Coaticook,"Black, n.o.s.",1539,0,0,0
2445,Memphrémagog,Black,1327,110,65,45
2445,Memphrémagog,"Black, n.o.s.",1539,0,0,0
2446,Brome-Missisquoi,Black,1327,200,120,80
2446,Brome-Missisquoi,"Black, n.o.s.",1539,0,0,0
2447,La Haute-Yamaska,Black,1327,890,435,455
2447,La Haute-Yamaska,"Black, n.o.s.",1539,0,0,0
2448,Acton,Black,1327,0,0,0
2448,Acton,"Black, n.o.s.",1539,0,0,0
2449,Drummond,Black,1327,700,390,310
2449,Drummond,"Black, n.o.s.",1539,10,0,0
2450,Nicolet-Yamaska,Black,1327,90,60,25
2450,Nicolet-Yamaska,"Black, n.o.s.",1539,0,0,0
2451,Maskinongé,Black,1327,75,40,35
2451,Maskinongé,"Black, n.o.s.",1539,0,0,0
2452,D'Autray,Black,1327,145,65,75
2452,D'Autray,"Black, n.o.s.",1539,0,0,0
2453,Pierre-De Saurel,Black,1327,265,95,170
2453,Pierre-De Saurel,"Black, n.o.s.",1539,0,0,0
2454,Les Maskoutains,Black,1327,1280,665,615
2454,Les Maskoutains,"Black, n.o.s.",1539,0,0,0
2455,Rouville,Black,1327,160,70,90
2455,Rouville,"Black, n.o.s.",1539,0,0,0
2456,Le Haut-Richelieu,Black,1327,845,445,405
